Case,ES_Buses,N_ES,TotalQg_pu,Qg_Frac,rho,u_min,Feasible,Vmin_pu,WorstBus,TotalLoss_pu,MeanCurt,MaxCurt,ReactiveSupport_pu,FeasProb,CVaR95
C0_NoSupport,[],0,0,0,0.7,0.2,0,0.830832555666025,18,0.67111995679414,0,0,0,NaN,NaN
C1_QgOnly,[],0,7.76975092046271,0.1,0.7,0.2,1,0.950000000270686,30,0.514042153370684,0,0,7.76975092046271,NaN,NaN
C2_WeakBus,[18 33],2,NaN,0,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C3_VSI7,[14 18 24 25 30 31 32],7,NaN,0,0.7,0.2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C4_MISOCP,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0,0,0.7,0.2,1,0.932356926000834,18,0.118020234276407,0.741383247680935,0.8,0,NaN,NaN
C5_Hybrid50,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],32,0.271905201641296,0.5,0.7,0.2,1,0.934416847735229,18,0.153245299151042,0.633229755523538,0.799999998111432,0.271905201641296,NaN,NaN
