Module,Label,Status,MinVmin_pu,TotalLoss_pu,MeanCurt_pct
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",FEASIBLE,0.950000000135559,0.184919645106625,19.2174452462037
9F Feasibility Scan,"P5: All — 32 buses",INFEASIBLE,NaN,NaN,NaN
9F Feasibility Scan,"P5: All — 32 buses",FEASIBLE,0.950000000073104,0.187247685981048,14.8760990473497
9F Feasibility Scan,"P5: All — 32 buses",FEASIBLE,0.950000000186704,0.182120601550427,17.3896061934242
9F Feasibility Scan,"P5: All — 32 buses",FEASIBLE,0.950000001020235,0.187382488476033,12.0869653989099
9F Feasibility Scan,"P5: All — 32 buses",FEASIBLE,0.950000000381446,0.186922086026502,13.7649920268454
