N_e_budget,N_s_min,N_e_used_S,Qes_S,Vmin_S,Loss_S,Stage4_Ns,N_b_min,N_e_used_B,Qes_B,Vmin_B,Loss_B,Stage4_Nb
0,7,0,0,0.950000000025206,0.532460518627614,7,3,0,0,0.950000000313607,0.436128863449721,3
4,0,4,3.54662094647291,0.950000001861582,0.384781332380643,5,0,4,3.54662094647291,0.950000001861582,0.384781332380643,2
8,0,8,3.65897468846758,0.950000000025855,0.215070586103302,3,0,8,3.65897468846758,0.950000000025855,0.215070586103302,2
12,0,12,3.1376127917529,0.950000002680331,0.153221281224125,2,0,12,3.1376127917529,0.950000002680331,0.153221281224125,2
16,0,16,2.78179948871879,0.95000001140684,0.12162448042979,2,0,16,2.78179948871879,0.95000001140684,0.12162448042979,1
20,0,20,2.719910359853,0.950000050048174,0.100734078853047,2,0,20,2.719910359853,0.950000050048174,0.100734078853047,1
24,0,24,2.55300663660604,0.951839564883613,0.0855913099044084,2,0,24,2.55300663660604,0.951839564883613,0.0855913099044084,1
28,0,28,2.63364940967126,0.953116892777418,0.0771265210560655,2,0,28,2.63364940967126,0.953116892777418,0.0771265210560655,1
32,0,32,2.64798175076409,0.953350450290275,0.0743817765727175,2,0,32,2.64798175076409,0.953350450290275,0.0743817765727175,1
