CaseName,CaseType,N_b_max,N_e_max,N_b_used,N_e_used,SolverOK,VoltageFeasible,Feasible,Vmin_pu,WorstBus,WorstHour,TotalLoss_pu,TotalQb_pu,NetDis_pu,MeanCurt,TotalVoltSlack_pu,SolveTime_s
C8_ESS_Nb1,ESS-only,1,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.8065846
C8_ESS_Nb2,ESS-only,2,NaN,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.8069935
C8_ESS_Nb3,ESS-only,3,NaN,3,NaN,1,1,1,0.950000000043404,18,22,0.433699890190421,5.58090204712601,-0.132979726354987,NaN,0,16.1233823
C9_ES32_ESS_Nb0,ES+ESS,0,32,NaN,NaN,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2127115
C9_ES32_ESS_Nb1,ES+ESS,1,32,1,32,1,1,1,0.95433795847029,18,17,0.0826199220127095,1.43236869446788,-0.0453619888142269,0.799995974621928,0,16.0831271
