Case,ES_Buses,N_ES,TotalQg_pu,Qg_Frac,rho,u_min,SolverOK,VoltageFeasible,Feasible,Vmin_pu,WorstBus,WorstHour,TotalLoss_pu,TotalVoltSlack_pu,N_ViolBusx24h,MeanCurt,MaxCurt,ReactiveSupport_pu
C0_NoSupport,"zeros(1,0)",0,0,0,0.7,0.2,1,0,0,0.830832555666025,18,17,0.67111995679414,15.2507201849434,393,NaN,NaN,0
C1_QgOnly,"zeros(1,0)",0,7.76975092046271,0.1,0.7,0.2,1,1,1,0.950000000270686,30,17,0.514042153370684,0,0,NaN,NaN,7.76975092046271
C2_WeakBus,"[18 33]",2,0,0,0.7,0.2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
C3_VSI7,"[14 18 24 25 30 31 32]",7,0,0,0.7,0.2,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
C4_MISOCP_ES,"[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33]",32,0,0,0.7,0.2,1,0,0,0.932356926000834,18,17,0.118020234276407,1.62733315141161,NaN,0.741383247680935,0.8,0
C5_Hybrid50_ES_Qg,"[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33]",32,0.271905201641296,0.5,0.7,0.2,1,0,0,0.934416847735229,18,17,0.153245299151042,1.37736943121208,NaN,0.633229755523538,0.799999998111432,0.271905201641296
