Case,Qg_frac,rho,u_min,N_ES_max,Feasible_volt,N_ES_sel,ES_Buses,Vmin_pu,WorstBus,TotalLoss_pu,MeanCurt,MaxCurt,TotalVoltSlack,TotalQg_pu,SolCode,SolTime_s
ES_Qg75,0.75,0.4,0,28,0,28,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 23 24 25 26 27 28 29 30 31 32 33],0.908517544382999,18,0.209521233621771,0.976762926130633,1,5.17093608094667,0.499544834336848,0,1.277219
Qg_full_ES,1,0.4,0,28,0,28,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 23 24 25 26 27 28 29 30 31 32 33],0.909591550037059,18,0.206551931756961,0.966895550597032,1,5.01140573453952,0.649799002445671,0,1.2623906
ES_only,0,0.4,0,32,0,32,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],0.905480937882472,18,0.240256951641099,0.893564987247562,1,5.62376498980181,0,0,1.0313912
ES_Qg25,0.25,0.4,0,32,0,32,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],0.90656519228704,18,0.242154751552875,0.821481009582101,1,5.45193873429539,0.145067873590409,0,1.0992709
ES_Qg50,0.5,0.4,0,32,0,32,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],0.907645862588336,18,0.236764430347567,0.815437371965056,1,5.29164046044471,0.29995901976435,0,1.0016203
ES_Qg75,0.75,0.4,0,32,0,32,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],0.908723087191905,18,0.228962779229151,0.805127373670761,1.00000019241669,5.13172894162098,0.453389588943851,0,1.0074904
Qg_full_ES,1,0.4,0,32,0,32,[2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33],0.909796807946641,18,0.222304455526918,0.806439986155576,1,4.97220661048122,0.617671457854395,0,0.9365361
ES_only,0,0.4,0.2,4,0,4,[8 14 30 32],0.851493875546673,18,0.508228256201507,0.79666071523326,0.800000987444394,19.8573179036716,0,0,1.1074312
ES_Qg25,0.25,0.4,0.2,4,0,4,[8 14 30 32],0.852692338480836,18,0.496747702403826,0.772971204788361,0.800001318711962,19.3347761198383,0.177701932126611,0,1.3821928
ES_Qg50,0.5,0.4,0.2,4,0,4,[8 14 30 32],0.853887627042954,18,0.554340724329382,0.736239014087378,0.800028864872609,18.8210449405143,0.353275713858268,0,1.3467248
ES_Qg75,0.75,0.4,0.2,4,0,4,[8 14 30 32],0.855077295632811,18,0.585408598563987,0.744515892022924,0.800046790616621,18.3199290528747,0.529672847347589,0,1.2767506
Qg_full_ES,1,0.4,0.2,4,0,4,[8 14 30 32],0.856260531907767,18,0.471156939690927,0.790039288703678,0.8,17.8207744906939,0.726296954703011,0,1.2188339
ES_only,0,0.4,0.2,8,0,8,[7 8 14 18 29 30 31 32],0.864688072982547,18,0.439496452949301,0.773400475012689,0.800000184121486,15.7728978879706,0,0,1.1772909
