CaseName,CaseType,N_e_max,N_e_used,SolverOK,VoltageFeasible,Vmin_pu,WorstBus,WorstHour,TotalLoss_pu,TotalQes_pu,MeanCurt_frac,SolveTime_s
C14_ES1_Ne1,ES1-only,1,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1.4957545
C14_ES1_Ne2,ES1-only,2,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.9299333
C14_ES1_Ne3,ES1-only,3,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.7964292
C14_ES1_Ne4,ES1-only,4,4,1,1,0.950000000100284,12,17,0.380570016564118,3.44389195529612,0.799999276247048,4.5340998
C15_ES1_Ne8,ES1-compare,8,8,1,1,0.950000004474316,16,18,0.215070877668049,3.65945036219241,0.799999625955044,1.2763008
C15_ES1_Ne16,ES1-compare,16,15,1,1,0.950000002733043,18,17,0.128609256858258,2.86100084854872,0.799999418048415,0.6061622
C15_ES1_Ne24,ES1-compare,24,15,1,1,0.950000002733043,18,17,0.128609256858258,2.86100084854872,0.799999418048415,0.6215053
C15_ES1_Ne32,ES1-compare,32,15,1,1,0.950000002733043,18,17,0.128609256858258,2.86100084854872,0.799999418048415,0.6046448
