h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0.999999904300263,0.999999904074383,0.999999904921367,0.999999904827725,0.999999904921367,0.999999904300263,0.999999905026659,0.999999854299045,0.999999854311069,0.999999854361833,0.999999854311069,0.99999985422681,0.999999854150801,0.999999854066232,0.999999854058438,0.999999854311069,0.999999854507023,0.999999852647963,0.999999851886909,0.99999985179027,0.99999985223844,0.999999854281768,0.999999904816909,0.999999904797747
0.999999914202222,0.999999924329158,0.999999927682905,0.999999927921419,0.999999927682905,0.999999914202222,0.999999914266422,0.999999911088044,0.999999910075489,0.999999910003463,0.999999910075489,0.999999910076947,0.99999991019631,0.999999910223106,0.999999910169002,0.999999910075489,0.999999908555993,0.999999906953332,0.999999902567131,0.999999901910346,0.99999990555242,0.999999909447904,0.99999991159836,0.999999914296892
0.999999862432986,0.999999863029925,0.999999882814621,0.999999880410874,0.999999882814621,0.999999862432986,0.999999862452277,0.999999755721489,0.999999742521196,0.999999740387908,0.999999742521196,0.999999743514797,0.999999744374007,0.999999745265183,0.999999743028446,0.999999742521196,0.999999721688644,0.999999701889889,0.999999635787818,0.99999961975068,0.999999676576744,0.99999973340388,0.999999853043554,0.999999861866422
0.999999912530414,0.999999912565475,0.999999918896382,0.999999919162122,0.999999918896382,0.999999912530414,0.99999991220993,0.999999842884338,0.999999839319347,0.999999838890905,0.999999839319347,0.999999839371651,0.999999839490904,0.999999839532897,0.99999983900719,0.999999839319347,0.999999833658755,0.999999827366501,0.999999807122569,0.999999802434377,0.999999820001011,0.999999837046011,0.999999907254174,0.999999912445733
0.999999910578392,0.999999910913872,0.999999920723061,0.999999921297896,0.999999920723061,0.999999910578392,0.999999909892053,0.999999832039892,0.999999823236322,0.999999821599643,0.999999823236322,0.99999982402042,0.999999824832823,0.999999825400878,0.99999982420049,0.999999823236322,0.99999980536221,0.999999781657613,0.999999714461629,0.999999697357228,0.999999758839829,0.999999815880485,0.999999901317744,0.999999911281092
0.999999602832777,0.999999580812681,0.99999977889658,0.999999771370065,0.99999977889658,0.999999602832777,0.999999511027925,0.999996082494889,0.200051386065338,0.20004713101782,0.200051386065338,0.20006927466456,0.55108850563597,0.92378425992127,0.735277613336815,0.200051386065338,0.200001590731019,0.200000808846142,0.200000361703206,0.200000331731595,0.20000055144033,0.200003220774814,0.999997885457078,0.999999561028391
0.99999948464612,0.999999334399603,0.9999996648035,0.999999684914978,0.9999996648035,0.99999948464612,0.999998767476581,0.200003388831034,0.200001140795246,0.2000011807333,0.200001140795246,0.200001077788456,0.20000126889948,0.200001095046851,0.200001228238893,0.200001140795246,0.200000615681224,0.200000379867586,0.200000213172972,0.200000196471492,0.200000316283286,0.200000706070649,0.255809057076913,0.999999532006244
0.999999894449872,0.9999998961644,0.999999919740759,0.999999921945302,0.999999919740759,0.999999894449872,0.999999892103447,0.999999741970128,0.9999996771113,0.999999667732609,0.9999996771113,0.999999683474179,0.999999691464198,0.999999700012942,0.999999689526523,0.9999996771113,0.999999597668986,0.999999320113598,0.999998324856824,0.999998245199968,0.999999202508669,0.999999615048102,0.999999870552149,0.999999891869366
0.999999884965792,0.99999988553834,0.999999917741171,0.999999920760152,0.999999917741171,0.999999884965792,0.999999881746734,0.999999666456358,0.999999544468404,0.999999526242721,0.999999544468404,0.999999554190171,0.99999956644755,0.999999580160126,0.99999955896135,0.999999544468404,0.999999285118295,0.999998576078265,0.666683580785378,0.431251548965125,0.999998517552886,0.999999373749067,0.999999831743469,0.999999883760844
